Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
42,125,1993,10,300000.0,1800.0,4,1,1700.0,29,10344.827586206897,0.005666666666666667,0,0,1
31,102,2017,3,129000.0,1500.0,0,0,10990.0,5,25800.0,0.0851937984496124,0,0,0
20,36,2012,4,193000.0,1800.0,2,0,10950.0,10,19300.0,0.05673575129533679,0,1,0
43,132,2010,9,202000.0,2400.0,0,0,14750.0,12,16833.333333333332,0.07301980198019802,1,0,1
6,102,2013,6,209000.0,1500.0,0,1,5750.0,9,23222.222222222223,0.02751196172248804,0,0,0
14,102,2010,4,145000.0,1400.0,4,1,4750.0,12,12083.333333333334,0.032758620689655175,0,0,1
20,36,2012,4,194000.0,1800.0,2,0,9999.0,10,19400.0,0.05154123711340206,0,1,0
43,133,2008,9,249000.0,2400.0,0,1,11500.0,14,17785.714285714286,0.04618473895582329,0,0,1
14,60,2008,4,142000.0,1100.0,4,1,3499.0,14,10142.857142857143,0.024640845070422534,0,0,1
23,14,2005,4,260000.0,1500.0,3,0,4750.0,17,15294.117647058823,0.01826923076923077,0,0,1
23,31,2002,2,240000.0,2300.0,4,1,3499.0,20,12000.0,0.014579166666666667,0,0,1
16,102,2012,10,120000.0,2200.0,0,0,15999.0,10,12000.0,0.133325,1,0,0
23,48,2010,10,182000.0,1800.0,4,0,11750.0,12,15166.666666666666,0.06456043956043957,0,0,1
34,86,2005,11,300000.0,2000.0,4,1,4999.0,17,17647.058823529413,0.016663333333333332,0,0,1
28,23,2008,11,310000.0,1300.0,0,1,4850.0,14,22142.85714285714,0.01564516129032258,0,0,1
34,115,2014,10,186000.0,1600.0,0,0,12300.0,8,23250.0,0.06612903225806452,0,0,0
42,102,2011,7,150000.0,2000.0,0,1,12800.0,11,13636.363636363636,0.08533333333333333,0,0,1
23,127,2000,6,258000.0,2200.0,0,0,2999.0,22,11727.272727272728,0.011624031007751938,0,0,1
27,96,2016,3,151000.0,1500.0,0,1,13890.0,6,25166.666666666668,0.09198675496688742,0,0,0
2,9,2018,10,46000.0,2000.0,4,0,27650.0,4,11500.0,0.6010869565217392,0,0,0
31,81,2010,11,257110.0,1500.0,0,1,4999.0,12,21425.83333333333,0.019443039943992844,0,0,1
11,84,2016,10,167000.0,1500.0,0,1,12990.0,6,27833.33333333333,0.07778443113772456,0,0,0
40,32,2018,3,114000.0,1800.0,2,0,16750.0,4,28500.0,0.14692982456140352,0,1,0
27,96,2017,3,157600.0,1500.0,0,1,11990.0,5,31520.0,0.07607868020304569,0,0,0
40,24,2014,11,190000.0,1800.0,2,0,8990.0,8,23750.0,0.047315789473684214,0,1,0
40,32,2017,3,119000.0,1800.0,2,0,18790.0,5,23800.0,0.15789915966386556,0,1,0
29,102,2018,3,145000.0,1500.0,0,0,16790.0,4,36250.0,0.11579310344827586,0,0,0
31,68,2016,3,150200.0,1500.0,0,0,13450.0,6,25033.33333333333,0.08954727030625832,0,0,0
20,85,2015,9,149000.0,2500.0,2,0,21750.0,7,21285.714285714286,0.14597315436241612,1,1,0
42,89,2006,10,216000.0,2000.0,4,0,5350.0,16,13500.0,0.02476851851851852,0,0,1
15,102,2016,3,88000.0,1500.0,0,0,15790.0,6,14666.666666666666,0.1794318181818182,0,0,0
42,89,2007,11,320000.0,1600.0,3,1,5999.0,15,21333.33333333333,0.018746875,0,0,1
14,80,2006,4,298000.0,1500.0,0,1,2999.0,16,18625.0,0.010063758389261745,0,0,1
13,41,2017,4,27138.0,1500.0,4,0,13300.0,5,5427.6,0.4900876999041934,0,0,0
31,68,2016,3,140000.0,1500.0,0,0,12400.0,6,23333.33333333333,0.08857142857142856,0,0,0
34,86,2012,10,166000.0,1600.0,0,0,8990.0,10,16600.0,0.0541566265060241,0,0,0
34,115,2009,10,223000.0,2000.0,0,0,8990.0,13,17153.846153846152,0.04031390134529148,0,0,1
40,44,2006,11,198563.0,1400.0,0,0,5350.0,16,12410.1875,0.026943589691936564,0,0,1
43,102,2000,10,202698.0,2800.0,4,0,3999.0,22,9213.545454545454,0.01972885770949886,0,0,1
19,53,2000,9,230000.0,2000.0,0,1,2750.0,22,10454.545454545454,0.011956521739130435,0,0,1
2,9,2018,10,82000.0,2000.0,0,0,34000.0,4,20500.0,0.4146341463414634,0,0,0
42,89,1995,11,250369.0,1800.0,4,1,2700.0,27,9272.925925925923,0.01078408269394374,0,0,1
18,102,2005,10,250632.0,2000.0,3,1,2690.0,17,14743.058823529413,0.010732867311436687,0,0,1
33,102,1998,1,300000.0,1900.0,0,1,1450.0,24,12500.0,0.004833333333333334,0,0,1
34,50,2012,6,165500.0,1200.0,0,1,5100.0,10,16550.0,0.03081570996978852,0,0,0
25,88,2011,9,248000.0,2000.0,4,0,9900.0,11,22545.454545454544,0.039919354838709675,0,0,1
11,52,2016,11,170000.0,1499.0,0,1,8890.0,6,28333.33333333333,0.052294117647058824,0,0,0
31,81,2008,11,245000.0,1500.0,0,1,3600.0,14,17500.0,0.014693877551020407,0,0,1
13,41,1999,11,290000.0,1500.0,4,1,1800.0,23,12608.695652173914,0.006206896551724138,0,0,1
14,122,2014,3,120000.0,200.0,3,0,12000.0,8,15000.0,0.1,0,0,0
31,102,2007,10,211000.0,1400.0,4,1,2900.0,15,14066.666666666666,0.013744075829383886,0,0,1
1,15,2012,10,166700.0,2000.0,4,0,10200.0,10,16670.0,0.0611877624475105,0,0,0
20,36,2014,10,81700.0,1800.0,2,0,12450.0,8,10212.5,0.15238678090575275,0,1,0
40,24,2013,11,142865.0,1400.0,0,1,8700.0,9,15873.888888888889,0.06089665068421237,0,0,0
41,3,2007,10,135865.0,1400.0,4,1,1500.0,15,9057.666666666666,0.011040370956464138,0,0,1
31,62,2013,6,181000.0,1500.0,0,0,7000.0,9,20111.11111111111,0.03867403314917127,0,0,0
34,86,2014,11,155000.0,1400.0,4,0,9700.0,8,19375.0,0.06258064516129032,0,0,0
34,86,2015,10,164000.0,1600.0,0,0,12750.0,7,23428.571428571428,0.07774390243902439,0,0,0
42,102,2010,2,150589.0,1400.0,4,1,7999.0,12,12549.083333333334,0.05311808963470108,0,0,1
11,52,2015,11,152523.0,1500.0,0,0,9300.0,7,21789.0,0.060974410416789596,0,0,0
28,23,2007,11,190000.0,1300.0,0,1,4499.0,15,12666.666666666666,0.023678947368421053,0,0,1
40,26,2014,11,165000.0,2000.0,0,1,15600.0,8,20625.0,0.09454545454545454,0,0,0
2,12,2006,10,260000.0,3000.0,0,0,11000.0,16,16250.0,0.04230769230769231,0,0,1
40,24,2011,4,182251.0,1798.0,2,0,8200.0,11,16568.272727272728,0.04499289441484546,0,1,1
10,102,2008,4,185000.0,1300.0,0,0,3600.0,14,13214.285714285714,0.01945945945945946,0,0,1
3,28,2012,4,187000.0,1300.0,0,1,4600.0,10,18700.0,0.02459893048128342,0,0,0
31,81,2005,10,190000.0,1500.0,0,1,3200.0,17,11176.470588235294,0.016842105263157894,0,0,1
38,102,2005,9,400000.0,2700.0,4,0,5500.0,17,23529.41176470588,0.01375,0,0,1
42,61,2010,4,225550.0,2000.0,4,0,9650.0,12,18795.83333333333,0.04278430503214365,0,0,1
7,102,2003,4,220000.0,1400.0,4,1,2000.0,19,11578.947368421052,0.00909090909090909,0,0,1
27,21,2003,4,90000.0,1500.0,4,1,1000.0,19,4736.8421052631575,0.011111111111111112,0,0,1
31,62,2013,6,165000.0,1500.0,0,1,7500.0,9,18333.33333333333,0.045454545454545456,0,0,0
13,102,2018,4,36000.0,1500.0,5,0,18499.0,4,9000.0,0.5138611111111111,0,1,0
40,102,2015,6,102000.0,1800.0,4,0,12500.0,7,14571.42857142857,0.12254901960784313,0,0,0
2,9,2004,10,2899.0,2500.0,4,1,6100.0,18,161.05555555555554,2.1041738530527767,0,0,1
25,88,2003,3,208367.0,2000.0,4,1,4600.0,19,10966.684210526317,0.02207643244851632,0,0,1
42,119,2011,6,168000.0,1400.0,4,1,7999.0,11,15272.727272727272,0.04761309523809524,0,0,1
40,102,2019,4,2500.0,1800.0,5,0,18999.0,3,833.3333333333334,7.5996,0,1,0
42,121,2004,5,190000.0,1896.0,0,1,6300.0,18,10555.555555555557,0.03315789473684211,0,0,1
34,86,2011,11,210000.0,1400.0,4,1,6400.0,11,19090.90909090909,0.030476190476190476,0,0,1
21,102,2014,10,160000.0,2000.0,2,0,12200.0,8,20000.0,0.07625,0,1,0
31,109,2004,11,180000.0,1500.0,0,1,3300.0,18,10000.0,0.018333333333333333,0,0,1
23,102,1984,11,100000.0,2400.0,0,1,1000.0,38,2631.5789473684213,0.01,0,0,1
40,74,2007,3,202000.0,2700.0,3,0,14600.0,15,13466.666666666666,0.07227722772277227,1,0,1
42,91,2017,4,170000.0,1422.0,0,1,8200.0,5,34000.0,0.04823529411764706,0,0,0
42,66,2013,10,198000.0,1400.0,2,0,8400.0,9,22000.0,0.04242424242424243,0,1,0
18,104,2004,11,183454.0,1300.0,4,1,2500.0,18,10191.888888888889,0.01362739433318434,0,0,1
2,131,2013,3,104000.0,2979.0,4,0,30900.0,9,11555.555555555557,0.2971153846153846,1,0,0
40,44,2006,4,119000.0,1600.0,4,0,5700.0,16,7437.5,0.04789915966386555,0,0,1
28,46,2007,4,283000.0,1300.0,0,1,3499.0,15,18866.666666666668,0.012363957597173144,0,0,1
40,24,2017,4,146000.0,1800.0,2,0,11900.0,5,29200.0,0.08150684931506849,0,1,0
27,96,2009,3,202000.0,1990.0,4,1,7100.0,13,15538.46153846154,0.03514851485148515,0,0,1
11,33,2016,5,141000.0,1500.0,0,1,9000.0,6,23500.0,0.06382978723404255,0,0,0
31,81,2013,6,220000.0,1500.0,0,1,5000.0,9,24444.444444444445,0.022727272727272728,0,0,0
31,62,2008,4,232012.0,1500.0,0,1,3700.0,14,16572.285714285714,0.01594745099391411,0,0,1
18,113,2018,9,38999.0,2000.0,0,0,24800.0,4,9749.75,0.6359137413779841,0,0,0
27,96,2014,3,219000.0,1500.0,0,1,10999.0,8,27375.0,0.05022374429223744,0,0,0
